
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Djibouti","DJI","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","1500","1500","2800","3100","3200","3800","3900","3200","3900","2100","3900","3900","3900","3900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","50600","64700","69800","70700","67200","66100","67700","67600","70000","74300","69700","64000","69200","77700","62000","75400","82800","85000","84600","87500","90600","87400","91100","101900","97200","101600","107800","118600","114600","106300","109369","110492","97713","90641","99598","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","8600","3900","3900","4200","4200","3700","10000","11300","10700","5900","5000","4300","5600","6100","6800","6800","6200","5300","6100","6000","9500","4500","4300","3900","3000","2800","1300","1400","1400","400","","","","","","","","","","","1552","2286","2303","1908","1584","1421","1170","","","13796","",
"Algeria","DZA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","14800","17400","19300","26200","29300","31900","34400","32900","35000","34800","36500","38200","38700","40300","43400","46200","50500","48400","49400","45700","44100","45600","45900","45400","45500","47000","45100","49600","44200","36400","40202","49274","46015","44315","48531","45692","44822","44136","31026","52731","53088","53286","54292","55516","60066","65940","73465","74714","77463","76001","",
"East Asia & Pacific (excluding high income)","EAP","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","305900","335000","352000","355500","364500","410900","420500","460300","478800","489500","591400","604300","637600","699800","765400","740800","804100","823400","889900","910000","1039100","1138400","1304200","1223700","1241700","1149800","1215806","1522837","1615064","1586155","2067761","2219532","2454357","2702754","2798473","3092984","3847811.59742684","4199862.07704265","4541090.00446749","4876787.3179955","5445123.69175995","5872462","6431220","6919472.67","7387203.84148969","7635543","",
"Early-demographic dividend","EAR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","851900","785500","848000","903200","922300","1010000","1094400","1135000","1180300","1264700","1329500","1335400","1356200","1443000","1538700","1537900","1539900","1575700","1595600","1628300","1603200","1559100","1692000","1695900","1828700","1804800","1925100","1985900","1992200","2043100","2077309","2197664","2027711","2065419","2360942","2441945","2670479","2893009","2852615","2986969","3940298.16679309","4158415.08632535","4357526.48746141","4574583.4635518","4976915.63345596","5220321","5700375","5886141.088","6219620.0608852","6044895","",
"East Asia & Pacific","EAS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","804900","823000","853800","1094900","1147700","1222500","1232000","1250500","1262800","1289200","1393400","1440800","1518900","1618700","1744300","1745100","1819300","1996000","2142700","2236200","2467300","2644000","2898700","2976700","3010400","2784900.00097656","2884999","3230312","3472124","3421353","3681701","3879996","4174539","4441653","4597611","4885072","6334923.95244873","6627354.95496903","6896897.70045843","7391410.0459955","8025736.2493602","8575632","9231486","9792841.59","10258516.8414897","10581431","",
"Europe & Central Asia (excluding high income)","ECA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024700","918500","852800","720500","636600","528000","600900","608451","635112","624809","666651","729602","755242","826249","890805","994702","1006505","1182579.22735896","1328444.38610583","1416869.82022895","1563901.50323624","1696293.52","1805288","1844252","1945388","2022096.545","2103538.332","",
"Europe & Central Asia","ECS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3665600","4699400","4752600","4875900","5087200","5391600","5502800","5933900","6236642","6291425","6044393","6113024","6481841","6300264","6602653","6941099","7106264","6941775","7011230.37227903","7377144.07392713","7300522.98255961","7299434.41223624","7478837.34464928","7758659","8043489","8204114","8482204.7870813","8678533.875","",
"Ecuador","ECU","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","28200","21100","19900","20700","19600","20800","21500","23000","24700","25600","27900","27400","27300","26500","26600","26300","27000","27600","27300","27800","27900","27900","20300","45000","43400","21800","22500","26200","26900","20200","18419","16523","15407","24801","28422","29844","31016","44842","49162","46485","60835","49193","54250.9226188785","58687","61248","61649","55430","50837","53033","50575","",
"Egypt, Arab Rep.","EGY","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","14500","12800","15700","14800","17000","15100","16900","18600","18700","21300","25700","27600","28100","29700","29900","31500","29800","30900","33800","35200","19800","25700","34100","31300","38000","39000","41300","41600","39500","44300","47418","41373","41858","42152","42189","44730","47444","51440","57510","56414","104036.125","78726.0909090909","92303","100735.5","101725.767440561","108206","115856","105464","105097","113055","",
"Euro area","EMU","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","996500","1046400","1109000","1100500","1133900","1098200","1122700","1131400","1166900","1186200","1174400","1147100","1186400","1170400","1203600","1240800","1274400","1397800","1558800","1672000","1807500","1875800","2094000","2206500","2316000","2456400","2682200","2988600","3145600","3384600","3614849","3602518","3506391","3648890","3873901","4159101","4376416","4615435","4645469","4526504","4312987.80537931","4429716.47543149","4311417.62183855","4127753.909","4154277.39764928","4289208","4468338","4479927","4558126.9394902","4854517.543","",
